t,S,Analytic,QNN$_7$,QNN$_4$,R-QNN$^{(2)}_4$,R-QNN$^{(3)}_4$
0.0,11.561978877153974,8.620260547072207e-10,-1.4882517,-3.080728,-1.0764163,-0.65483546
0.0,11.650917176209006,1.0994433008243677e-09,-1.4949274,-3.0865965,-1.0814147,-0.6601927
0.0,11.739855475264036,1.3977211823825758e-09,-1.5014696,-3.0922415,-1.0863714,-0.6655166
0.0,11.828793774319067,1.7712894966902662e-09,-1.5079117,-3.0976553,-1.0912614,-0.6708405
0.0,11.917732073374097,2.2377172519641668e-09,-1.5142536,-3.1028457,-1.0960846,-0.67613935
0.0,12.006670372429127,2.8183327863879086e-09,-1.5204954,-3.1078086,-1.1008327,-0.6814132
0.0,12.095608671484158,3.538953530934258e-09,-1.5266037,-3.1125422,-1.1055307,-0.68667865
0.0,12.18454697053919,4.430742406121844e-09,-1.5326118,-3.1170483,-1.110162,-0.6919024
0.0,12.27348526959422,5.531210072986969e-09,-1.5384948,-3.1213331,-1.1147349,-0.69710946
0.0,12.36242356864925,6.8853847211014505e-09,-1.544286,-3.1253886,-1.1192327,-0.70229983
0.0,12.45136186770428,8.547173787682271e-09,-1.5499604,-3.1292229,-1.123672,-0.7074568
0.0,12.54030016675931,1.0580944978195856e-08,-1.5555263,-3.1328197,-1.1280446,-0.7125721
0.0,12.629238465814343,1.3063357216933013e-08,-1.560967,-3.1362011,-1.1323588,-0.71768737
0.0,12.718176764869373,1.6085475712096182e-08,-1.5662909,-3.1393492,-1.1365812,-0.7227526
0.0,12.807115063924403,1.975520919065298e-08,-1.5714812,-3.142276,-1.1407535,-0.72779274
0.0,12.896053362979433,2.4200111559143175e-08,-1.5765965,-3.1449757,-1.1448507,-0.7328079
0.0,12.984991662034464,2.957059479344451e-08,-1.5815783,-3.1474562,-1.1488812,-0.7378063
0.0,13.073929961089494,3.6043604768082854e-08,-1.5864432,-3.149705,-1.1528366,-0.7427547
0.0,13.162868260144526,4.382681701756628e-08,-1.5911746,-3.1517327,-1.1567335,-0.7476697
0.0,13.251806559199556,5.316341509192418e-08,-1.5958142,-3.153531,-1.1605554,-0.752568
0.0,13.340744858254586,6.433752023706516e-08,-1.6003036,-3.155108,-1.1643021,-0.7574246
0.0,13.429683157309617,7.768034760888803e-08,-1.6046846,-3.1564598,-1.1679821,-0.7622478
0.0,13.518621456364647,9.357717112573328e-08,-1.608932,-3.1575866,-1.171587,-0.7670293
0.0,13.607559755419677,1.1247518638482376e-07,-1.6130877,-3.158494,-1.1751251,-0.7717941
0.0,13.69649805447471,1.3489236881814703e-07,-1.6170931,-3.159172,-1.1785715,-0.77650046
0.0,13.78543635352974,1.6142743244554127e-07,-1.6210067,-3.1596267,-1.1819677,-0.78117347
0.0,13.87437465258477,1.9277100319628806e-07,-1.6247535,-3.1598604,-1.1852806,-0.7858131
