modelo,seed,n_layers,mean_last_100_loss,mse_mesh,model_path,model_type,n_qubits,k,n_vertex,entangler
R-QNN$^{(2)}_4$,1973,3,1.280123855394777e-05,0.4195893467594031,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_3_seed_1973.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,2025,3,2.89455110214476e-05,0.48167674559446577,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_3_seed_2025.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,2024,3,3.511121381961857e-05,0.3401232520900569,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_3_seed_2024.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,2012,3,1.200282891659299e-05,0.17076468438016024,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_3_seed_2012.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1958,3,2.795708018311416e-05,0.2813195613410451,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_3_seed_1958.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1962,3,4.307157865696354e-05,0.5081758642453706,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_3_seed_1962.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1997,3,3.2581665509496814e-05,0.42142982616607183,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_3_seed_1997.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1924,5,2.327616230104468e-05,0.5536255675184419,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_5_seed_1924.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1925,5,4.046131754876114e-05,0.8633607492529124,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_5_seed_1925.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1926,5,3.7088990211486816e-05,0.3834683218456493,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_5_seed_1926.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1973,5,2.3935400786285755e-05,0.2037975285433698,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_5_seed_1973.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,2025,5,1.715161961328704e-05,0.21200656084441932,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_5_seed_2025.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,2024,5,3.414048478589393e-05,0.2471794882935917,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_5_seed_2024.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,2012,5,6.489842569862959e-05,0.7584402990058,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_5_seed_2012.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1958,5,3.784505654039094e-05,0.596258731898652,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_5_seed_1958.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1962,5,1.0807271937665064e-05,0.14164360217963928,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_5_seed_1962.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(2)}_4$,1997,5,9.4203640219348e-06,0.12074710487402607,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_2_n_vertex_7_n_l_5_seed_1997.pth,CQNN,4,2.0,7.0,strong
R-QNN$^{(3)}_4$,1924,1,9.438277538720286e-06,0.13863899803999044,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_1_seed_1924.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1925,1,3.1502018464379945e-05,0.38917162269916616,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_1_seed_1925.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1926,1,8.040188455197494e-05,1.040431626789131,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_1_seed_1926.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1924,3,1.665290250457474e-05,0.16597768376052158,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_3_seed_1924.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1925,3,4.877226641838206e-05,0.6440051951713095,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_3_seed_1925.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1926,3,2.6868004897551143e-05,0.35379264299422897,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_3_seed_1926.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1973,1,2.2908173741598147e-05,0.2874336764394024,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_1_seed_1973.pth,CQNN,4,3.0,7.0,strong
