model_type,run_id_prefix,lr,epochs,activation,hidden,blocks,seed,run_id,mse_teste_normalizado,mse_teste_desnormalizado,num_params,training_time_sec,model_path,loss_history_path,final_total_loss,mean_last_100_loss
MLP,mlp,0.005,15000,Tanh(),3,2,1970,mlp_n_3_b_2_seed_1970,7.161433586588828e-06,0.14036411046981812,25,133.52805757522583,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_2_seed_1970.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_2_seed_1970.json,6.713210950692883e-06,6.722073871969769e-06
MLP,mlp,0.005,15000,Tanh(),3,2,1994,mlp_n_3_b_2_seed_1994,6.128715904196724e-05,1.201228380203247,25,158.47153449058533,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_2_seed_1994.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_2_seed_1994.json,8.041634282562882e-05,8.061686450673733e-05
MLP,mlp,0.005,15000,Tanh(),3,2,2002,mlp_n_3_b_2_seed_2002,9.041088924277574e-05,1.772053599357605,25,139.83058094978333,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_2_seed_2002.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_2_seed_2002.json,0.00012508466897998005,0.0001292843816918321
MLP,mlp,0.005,15000,Tanh(),3,2,1900,mlp_n_3_b_2_seed_1900,8.799809620541055e-06,0.17247630655765533,25,144.29405570030212,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_2_seed_1900.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_2_seed_1900.json,1.0340256267227232e-05,1.799086396204075e-05
MLP,mlp,0.005,15000,Tanh(),3,2,1905,mlp_n_3_b_2_seed_1905,9.642026270739734e-05,1.8898372650146484,25,135.6186285018921,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_2_seed_1905.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_2_seed_1905.json,0.00012924743350595236,0.00012940697080921382
MLP,mlp,0.005,15000,Tanh(),3,2,1924,mlp_n_3_b_2_seed_1924,3.787125751841813e-05,0.7422766089439392,25,156.59115862846375,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_2_seed_1924.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_2_seed_1924.json,5.3357482102001086e-05,5.381672366638668e-05
MLP,mlp,0.005,15000,Tanh(),3,2,1925,mlp_n_3_b_2_seed_1925,9.45720876188716e-06,0.18536131083965302,25,147.61682844161987,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_2_seed_1925.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_2_seed_1925.json,1.1832417840196285e-05,1.189100019473699e-05
MLP,mlp,0.005,15000,Tanh(),3,2,1926,mlp_n_3_b_2_seed_1926,8.744552360440139e-06,0.17139321565628052,25,81.47505712509155,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_2_seed_1926.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_2_seed_1926.json,1.0594191735435743e-05,1.0620238017509109e-05
MLP,mlp,0.005,15000,Tanh(),3,3,1958,mlp_n_3_b_3_seed_1958,4.48428800154943e-05,0.8789204359054565,37,115.75483775138855,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_3_seed_1958.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_3_seed_1958.json,6.4392268541269e-05,6.712907808832824e-05
MLP,mlp,0.005,15000,Tanh(),3,3,1962,mlp_n_3_b_3_seed_1962,9.061115997610614e-05,1.7759788036346436,37,136.90336680412292,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_3_seed_1962.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_3_seed_1962.json,0.00012123605119995773,0.00019275608683528845
MLP,mlp,0.005,15000,Tanh(),3,3,1970,mlp_n_3_b_3_seed_1970,7.763514986436348e-06,0.15216487646102905,37,121.04930448532104,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_3_seed_1970.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_3_seed_1970.json,7.301268396986416e-06,7.311572448998049e-06
MLP,mlp,0.005,15000,Tanh(),3,3,1994,mlp_n_3_b_3_seed_1994,1.341046481684316e-05,0.26284512877464294,37,110.4120352268219,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_3_seed_1994.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_3_seed_1994.json,1.8485787222743966e-05,1.8751070183498086e-05
MLP,mlp,0.005,15000,Tanh(),3,3,2002,mlp_n_3_b_3_seed_2002,7.118050416465849e-05,1.3951380252838135,37,120.95461869239807,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_3_seed_2002.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_3_seed_2002.json,9.554217103868723e-05,9.594749419193249e-05
MLP,mlp,0.005,15000,Tanh(),3,3,1900,mlp_n_3_b_3_seed_1900,7.917829861980863e-06,0.15518943965435028,37,117.2879569530487,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_3_seed_1900.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_3_seed_1900.json,7.803475455148146e-06,7.84752822255541e-06
MLP,mlp,0.005,15000,Tanh(),3,3,1905,mlp_n_3_b_3_seed_1905,7.831737093511038e-06,0.15350206196308136,37,113.47640037536621,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_3_seed_1905.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_3_seed_1905.json,8.90746287041111e-06,2.4327677092514932e-05
MLP,mlp,0.005,15000,Tanh(),3,3,1924,mlp_n_3_b_3_seed_1924,1.2698128557531163e-05,0.24888333678245544,37,118.69742584228516,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_3_seed_1924.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_3_seed_1924.json,1.618990245333407e-05,1.6248103565885686e-05
MLP,mlp,0.005,15000,Tanh(),3,3,1925,mlp_n_3_b_3_seed_1925,8.691334187460598e-06,0.17035016417503357,37,106.62821245193481,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_3_seed_1925.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_3_seed_1925.json,9.40657173487125e-06,9.415399281351711e-06
MLP,mlp,0.005,15000,Tanh(),3,3,1926,mlp_n_3_b_3_seed_1926,8.562658877053764e-06,0.16782806813716888,37,134.41646671295166,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_3_seed_1926.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_3_seed_1926.json,8.67206745169824e-06,8.717370201338781e-06
MLP,mlp,0.005,15000,Tanh(),5,1,1958,mlp_n_5_b_1_seed_1958,3.517169534461573e-05,0.6893651485443115,21,88.32062482833862,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_1_seed_1958.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_1_seed_1958.json,4.862095374846831e-05,5.3976044328010175e-05
MLP,mlp,0.005,15000,Tanh(),5,1,1962,mlp_n_5_b_1_seed_1962,0.00011226710921619087,2.2004354000091553,21,78.98508310317993,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_1_seed_1962.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_1_seed_1962.json,0.00015219753549899906,0.00016060058420407585
MLP,mlp,0.005,15000,Tanh(),5,1,1970,mlp_n_5_b_1_seed_1970,9.864214371191338e-05,1.9333860874176025,21,71.14281511306763,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_1_seed_1970.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_1_seed_1970.json,0.00012977774895261973,0.00012985536101041363
MLP,mlp,0.005,15000,Tanh(),5,1,1994,mlp_n_5_b_1_seed_1994,0.00013444182695820928,2.6350595951080322,21,77.25631761550903,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_1_seed_1994.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_1_seed_1994.json,0.00018262727826368064,0.0001834581169532612
MLP,mlp,0.005,15000,Tanh(),5,1,2002,mlp_n_5_b_1_seed_2002,9.709158621262759e-05,1.902994990348816,21,73.13932633399963,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_1_seed_2002.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_1_seed_2002.json,0.0001298918214160949,0.00013985382960527204
MLP,mlp,0.005,15000,Tanh(),5,1,1900,mlp_n_5_b_1_seed_1900,3.815618038061075e-05,0.7478612661361694,21,77.3014874458313,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_1_seed_1900.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_1_seed_1900.json,5.77936225454323e-05,5.859716489794664e-05
MLP,mlp,0.005,15000,Tanh(),5,1,1905,mlp_n_5_b_1_seed_1905,7.633503992110491e-05,1.496166706085205,21,67.86457777023315,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_1_seed_1905.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_1_seed_1905.json,9.924000914907083e-05,6.235601671505719e-05
MLP,mlp,0.005,15000,Tanh(),5,1,1924,mlp_n_5_b_1_seed_1924,0.00010160628880839795,1.9914833307266235,21,79.67924571037292,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_1_seed_1924.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_1_seed_1924.json,0.00013358013529796153,0.00013370058120926843
MLP,mlp,0.005,15000,Tanh(),5,1,1925,mlp_n_5_b_1_seed_1925,7.24448254914023e-05,1.4199186563491821,21,77.40716767311096,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_1_seed_1925.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_1_seed_1925.json,8.923710993258283e-05,8.249227059422992e-05
MLP,mlp,0.005,15000,Tanh(),5,1,1926,mlp_n_5_b_1_seed_1926,9.462945308769122e-05,1.8547372817993164,21,83.80401635169983,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_1_seed_1926.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_1_seed_1926.json,0.00012360079563222826,0.0001312341942684725
